2019-05-19 18:19:15
sign_sgd_majority_two-point_log-reg_var-step_20_2,0_1
it: 0, loss: 33714.65929296417, stepsize: 2.0
it: 1, loss: 32052.559230209885, stepsize: 2.0
it: 2, loss: 30911.08708320397, stepsize: 1.414213562373095
it: 3, loss: 29997.936458074048, stepsize: 1.1547005383792517
it: 4, loss: 29221.55959259199, stepsize: 1.0
it: 5, loss: 28537.805521374605, stepsize: 0.8944271909999159
it: 6, loss: 27923.05228593256, stepsize: 0.8164965809277261
it: 7, loss: 27362.225530665437, stepsize: 0.7559289460184544
it: 8, loss: 26842.94753069773, stepsize: 0.7071067811865475
it: 9, loss: 26359.786275624447, stepsize: 0.6666666666666666
it: 10, loss: 25907.177610129336, stepsize: 0.6324555320336759
it: 11, loss: 25480.05446271661, stepsize: 0.6030226891555273
it: 12, loss: 25075.887951726454, stepsize: 0.5773502691896258
it: 13, loss: 24691.396453768542, stepsize: 0.5547001962252291
it: 14, loss: 24324.969870056535, stepsize: 0.5345224838248488
it: 15, loss: 23974.178799980098, stepsize: 0.5163977794943222
it: 16, loss: 23638.139900140115, stepsize: 0.5
it: 17, loss: 23314.941273371125, stepsize: 0.48507125007266594
it: 18, loss: 23004.047364881182, stepsize: 0.47140452079103173
it: 19, loss: 22703.527504312926, stepsize: 0.4588314677411235
it: 20, loss: 22413.44216945175, stepsize: 0.4472135954999579
it: 21, loss: 22131.87627356234, stepsize: 0.4364357804719848
it: 22, loss: 21859.448255657135, stepsize: 0.42640143271122083
it: 23, loss: 21594.25704785982, stepsize: 0.41702882811414954
it: 24, loss: 21337.168673754768, stepsize: 0.4082482904638631
it: 25, loss: 21086.405936739906, stepsize: 0.4
it: 26, loss: 20842.855513924325, stepsize: 0.3922322702763681
it: 27, loss: 20604.88254547293, stepsize: 0.3849001794597505
it: 28, loss: 20373.38868790173, stepsize: 0.3779644730092272
it: 29, loss: 20146.86201681239, stepsize: 0.3713906763541037
it: 30, loss: 19926.201817082943, stepsize: 0.3651483716701107
it: 31, loss: 19709.991305373198, stepsize: 0.3592106040535498
it: 32, loss: 19499.051761695002, stepsize: 0.35355339059327373
it: 33, loss: 19292.45438486786, stepsize: 0.3481553119113957
it: 34, loss: 19090.57816036218, stepsize: 0.34299717028501764
it: 35, loss: 18892.222105819194, stepsize: 0.3380617018914066
it: 36, loss: 18698.607071590042, stepsize: 0.3333333333333333
it: 37, loss: 18508.320604898923, stepsize: 0.3287979746107146
it: 38, loss: 18321.90737103372, stepsize: 0.3244428422615251
it: 39, loss: 18138.542903139605, stepsize: 0.32025630761017426
it: 40, loss: 17958.894977076692, stepsize: 0.31622776601683794
it: 41, loss: 17782.715495974808, stepsize: 0.31234752377721214
it: 42, loss: 17609.988632491855, stepsize: 0.3086066999241838
it: 43, loss: 17439.56278664373, stepsize: 0.30499714066520933
it: 44, loss: 17272.366334521234, stepsize: 0.30151134457776363
it: 45, loss: 17108.209829223375, stepsize: 0.29814239699997197
it: 46, loss: 16946.715733485464, stepsize: 0.29488391230979427
it: 47, loss: 16787.713464408425, stepsize: 0.2917299829957891
it: 48, loss: 16631.55113677953, stepsize: 0.2886751345948129
it: 49, loss: 16477.74374248267, stepsize: 0.2857142857142857
it: 50, loss: 16326.60918940579, stepsize: 0.282842712474619
it: 51, loss: 16177.49932656407, stepsize: 0.28005601680560194
it: 52, loss: 16030.914473212073, stepsize: 0.2773500981126146
it: 53, loss: 15886.417225473078, stepsize: 0.27472112789737807
it: 54, loss: 15744.219818806536, stepsize: 0.2721655269759087
it: 55, loss: 15603.989430348867, stepsize: 0.26967994498529685
it: 56, loss: 15465.940393155313, stepsize: 0.2672612419124244
it: 57, loss: 15329.752279985378, stepsize: 0.26490647141300877
it: 58, loss: 15195.586789287205, stepsize: 0.2626128657194451
it: 59, loss: 15063.231158113791, stepsize: 0.26037782196164777
it: 60, loss: 14932.8731586599, stepsize: 0.2581988897471611
it: 61, loss: 14803.6862032384, stepsize: 0.25607375986579195
it: 62, loss: 14676.722008310075, stepsize: 0.254000254000381
it: 63, loss: 14551.304003807907, stepsize: 0.2519763153394848
it: 64, loss: 14427.160566215274, stepsize: 0.25
it: 65, loss: 14304.58602924233, stepsize: 0.24806946917841693
it: 66, loss: 14183.947401477773, stepsize: 0.24618298195866545
it: 67, loss: 14064.418182561807, stepsize: 0.24433888871261045
it: 68, loss: 13946.49122129432, stepsize: 0.24253562503633297
it: 69, loss: 13830.134561222347, stepsize: 0.2407717061715384
it: 70, loss: 13715.373721423319, stepsize: 0.23904572186687872
it: 71, loss: 13601.48710933651, stepsize: 0.23735633163877065
it: 72, loss: 13489.137893511843, stepsize: 0.23570226039551587
it: 73, loss: 13378.097541838528, stepsize: 0.23408229439226114
it: 74, loss: 13268.779275820583, stepsize: 0.23249527748763857
it: 75, loss: 13160.136631572783, stepsize: 0.23094010767585027
it: 76, loss: 13052.974620805973, stepsize: 0.22941573387056174
it: 77, loss: 12946.906281625495, stepsize: 0.2279211529192759
it: 78, loss: 12842.027846418705, stepsize: 0.22645540682891913
it: 79, loss: 12738.39242917822, stepsize: 0.2250175801852048
it: 80, loss: 12635.900080296755, stepsize: 0.22360679774997896
it: 81, loss: 12534.182798329588, stepsize: 0.2222222222222222
it: 82, loss: 12433.567172658848, stepsize: 0.22086305214969307
it: 83, loss: 12334.112793382481, stepsize: 0.2195285199793807
it: 84, loss: 12235.760890247488, stepsize: 0.2182178902359924
it: 85, loss: 12138.245146528521, stepsize: 0.21693045781865616
it: 86, loss: 12041.796105836806, stepsize: 0.21566554640687682
it: 87, loss: 11946.329576774286, stepsize: 0.21442250696755896
it: 88, loss: 11851.803513626364, stepsize: 0.21320071635561041
it: 89, loss: 11758.158699844598, stepsize: 0.211999576001272
it: 90, loss: 11665.623571149747, stepsize: 0.21081851067789195
it: 91, loss: 11573.824057002155, stepsize: 0.20965696734438366
it: 92, loss: 11482.958188510938, stepsize: 0.20851441405707477
it: 93, loss: 11392.91580306007, stepsize: 0.20739033894608505
it: 94, loss: 11303.918078808487, stepsize: 0.20628424925175867
it: 95, loss: 11215.605736692853, stepsize: 0.20519567041703082
it: 96, loss: 11128.170452358581, stepsize: 0.20412414523193154
it: 97, loss: 11041.57316503794, stepsize: 0.20306923302672383
it: 98, loss: 10955.82748959157, stepsize: 0.20203050891044214
it: 99, loss: 10870.717410962154, stepsize: 0.20100756305184242
it: 100, loss: 10786.624647261431, stepsize: 0.2
it: 101, loss: 10703.147462678464, stepsize: 0.19900743804199783
it: 102, loss: 10620.525212245528, stepsize: 0.19802950859533489
it: 103, loss: 10538.72334324739, stepsize: 0.19706585563285864
it: 104, loss: 10457.438364262043, stepsize: 0.19611613513818404
it: 105, loss: 10377.10788668943, stepsize: 0.19518001458970666
it: 106, loss: 10297.274647278733, stepsize: 0.19425717247145283
it: 107, loss: 10218.217365865308, stepsize: 0.1933472978091327
it: 108, loss: 10139.899031556402, stepsize: 0.19245008972987526
it: 109, loss: 10062.223927394218, stepsize: 0.19156525704423027
it: 110, loss: 9985.423508918728, stepsize: 0.19069251784911848
it: 111, loss: 9909.023210002808, stepsize: 0.1898315991504998
it: 112, loss: 9833.484043670236, stepsize: 0.1889822365046136
it: 113, loss: 9758.47607339486, stepsize: 0.18814417367671946
it: 114, loss: 9684.229400956581, stepsize: 0.1873171623163388
it: 115, loss: 9610.559138607263, stepsize: 0.18650096164806276
it: 116, loss: 9537.531149600512, stepsize: 0.18569533817705186
it: 117, loss: 9465.127382262273, stepsize: 0.1849000654084097
it: 118, loss: 9393.373335305727, stepsize: 0.1841149235796647
it: 119, loss: 9322.074610932292, stepsize: 0.18333969940564226
it: 120, loss: 9251.530817132269, stepsize: 0.18257418583505536
it: 121, loss: 9181.47393137836, stepsize: 0.18181818181818182
it: 122, loss: 9112.102136256499, stepsize: 0.18107149208503706
it: 123, loss: 9043.20634853115, stepsize: 0.18033392693348646
it: 124, loss: 8975.032867060305, stepsize: 0.1796053020267749
it: 125, loss: 8907.416938515771, stepsize: 0.17888543819998318
it: 126, loss: 8840.160120148668, stepsize: 0.1781741612749496
it: 127, loss: 8773.504072391326, stepsize: 0.17747130188322277
it: 128, loss: 8707.481763168787, stepsize: 0.17677669529663687
it: 129, loss: 8641.849703005017, stepsize: 0.17609018126512477
it: 130, loss: 8576.950388060302, stepsize: 0.17541160386140586
it: 131, loss: 8512.427285427157, stepsize: 0.1747408113322076
it: 132, loss: 8448.459751930777, stepsize: 0.17407765595569785
it: 133, loss: 8385.021126542648, stepsize: 0.173421993904824
it: 134, loss: 8322.072316294454, stepsize: 0.17277368511627203
it: 135, loss: 8259.64065245712, stepsize: 0.17213259316477408
it: 136, loss: 8197.688835894685, stepsize: 0.17149858514250882
it: 137, loss: 8136.241176936214, stepsize: 0.1708715315433522
it: 138, loss: 8075.262755366025, stepsize: 0.17025130615174972
it: 139, loss: 8014.779622915818, stepsize: 0.16963778593599418
it: 140, loss: 7954.755425377632, stepsize: 0.1690308509457033
it: 141, loss: 7895.214463999787, stepsize: 0.1684303842133038
it: 142, loss: 7836.12348197808, stepsize: 0.16783627165933782
it: 143, loss: 7777.505627321913, stepsize: 0.16724840200141816
it: 144, loss: 7719.327284286325, stepsize: 0.16666666666666666
it: 145, loss: 7661.561370929078, stepsize: 0.16609095970747995
it: 146, loss: 7604.330806320947, stepsize: 0.1655211777204736
it: 147, loss: 7547.57953991964, stepsize: 0.1649572197684645
it: 148, loss: 7491.097455635806, stepsize: 0.1643989873053573
it: 149, loss: 7435.084372140706, stepsize: 0.1638463841038081
it: 150, loss: 7379.589641799822, stepsize: 0.16329931618554522
it: 151, loss: 7324.478795244461, stepsize: 0.16275769175423188
it: 152, loss: 7269.773415817227, stepsize: 0.16222142113076254
it: 153, loss: 7215.496989247792, stepsize: 0.16169041669088866
it: 154, loss: 7161.617913533063, stepsize: 0.16116459280507606
it: 155, loss: 7108.158123595999, stepsize: 0.16064386578049977
it: 156, loss: 7055.087881951329, stepsize: 0.16012815380508713
it: 157, loss: 7002.37970265315, stepsize: 0.15961737689352443
it: 158, loss: 6950.154456495443, stepsize: 0.159111456835146
it: 159, loss: 6898.233123601214, stepsize: 0.15861031714362883
it: 160, loss: 6846.83510369071, stepsize: 0.15811388300841897
it: 161, loss: 6795.688114469008, stepsize: 0.15762208124782012
it: 162, loss: 6745.004226008842, stepsize: 0.15713484026367722
it: 163, loss: 6694.564837984015, stepsize: 0.15665208999759148
it: 164, loss: 6644.633302888224, stepsize: 0.15617376188860607
it: 165, loss: 6594.9862693287, stepsize: 0.1556997888323046
it: 166, loss: 6545.838866083495, stepsize: 0.15523010514126656
it: 167, loss: 6496.87537865265, stepsize: 0.15476464650682736
it: 168, loss: 6448.404678481784, stepsize: 0.1543033499620919
it: 169, loss: 6400.205695054545, stepsize: 0.15384615384615385
