2019-05-19 18:19:11
sign_sgd_majority_two-point_log-reg_var-step_20_1,0_1
it: 0, loss: 33714.65929296417, stepsize: 1.0
it: 1, loss: 32876.606422526194, stepsize: 1.0
it: 2, loss: 32292.46680577977, stepsize: 0.7071067811865475
it: 3, loss: 31820.71165030953, stepsize: 0.5773502691896258
it: 4, loss: 31415.9314482637, stepsize: 0.5
it: 5, loss: 31056.673713790366, stepsize: 0.4472135954999579
it: 6, loss: 30730.95949625541, stepsize: 0.4082482904638631
it: 7, loss: 30431.36760241071, stepsize: 0.3779644730092272
it: 8, loss: 30152.780693550278, stepsize: 0.35355339059327373
it: 9, loss: 29891.640142112257, stepsize: 0.3333333333333333
it: 10, loss: 29645.21301261986, stepsize: 0.31622776601683794
it: 11, loss: 29411.487097355784, stepsize: 0.30151134457776363
it: 12, loss: 29188.798842150984, stepsize: 0.2886751345948129
it: 13, loss: 28975.946707841904, stepsize: 0.2773500981126146
it: 14, loss: 28771.65103364246, stepsize: 0.2672612419124244
it: 15, loss: 28575.232660431764, stepsize: 0.2581988897471611
it: 16, loss: 28385.941094225058, stepsize: 0.25
it: 17, loss: 28202.94829836968, stepsize: 0.24253562503633297
it: 18, loss: 28025.970543220334, stepsize: 0.23570226039551587
it: 19, loss: 27854.284121045166, stepsize: 0.22941573387056174
it: 20, loss: 27687.65429462981, stepsize: 0.22360679774997896
it: 21, loss: 27525.685328969204, stepsize: 0.2182178902359924
it: 22, loss: 27368.0848280097, stepsize: 0.21320071635561041
it: 23, loss: 27214.412507722314, stepsize: 0.20851441405707477
it: 24, loss: 27064.5655951898, stepsize: 0.20412414523193154
it: 25, loss: 26918.29310380659, stepsize: 0.2
it: 26, loss: 26775.40562731938, stepsize: 0.19611613513818404
it: 27, loss: 26635.578264412172, stepsize: 0.19245008972987526
it: 28, loss: 26498.77538145264, stepsize: 0.1889822365046136
it: 29, loss: 26364.827641005468, stepsize: 0.18569533817705186
it: 30, loss: 26233.60250258335, stepsize: 0.18257418583505536
it: 31, loss: 26104.84521740189, stepsize: 0.1796053020267749
it: 32, loss: 25978.556978761324, stepsize: 0.17677669529663687
it: 33, loss: 25854.618453641826, stepsize: 0.17407765595569785
it: 34, loss: 25732.9313890129, stepsize: 0.17149858514250882
it: 35, loss: 25613.287251202324, stepsize: 0.1690308509457033
it: 36, loss: 25495.761681276956, stepsize: 0.16666666666666666
it: 37, loss: 25380.10885686105, stepsize: 0.1643989873053573
it: 38, loss: 25266.359000345466, stepsize: 0.16222142113076254
it: 39, loss: 25154.438442265156, stepsize: 0.16012815380508713
it: 40, loss: 25044.227407054514, stepsize: 0.15811388300841897
it: 41, loss: 24935.712576268095, stepsize: 0.15617376188860607
it: 42, loss: 24828.83300134228, stepsize: 0.1543033499620919
it: 43, loss: 24723.436690778173, stepsize: 0.15249857033260467
it: 44, loss: 24619.565122761487, stepsize: 0.15075567228888181
it: 45, loss: 24517.16906044369, stepsize: 0.14907119849998599
it: 46, loss: 24416.198371207796, stepsize: 0.14744195615489714
it: 47, loss: 24316.518618617356, stepsize: 0.14586499149789456
it: 48, loss: 24218.22155964347, stepsize: 0.14433756729740646
it: 49, loss: 24121.133582858292, stepsize: 0.14285714285714285
it: 50, loss: 24025.302902117204, stepsize: 0.1414213562373095
it: 51, loss: 23930.69739804194, stepsize: 0.14002800840280097
it: 52, loss: 23837.23270991904, stepsize: 0.1386750490563073
it: 53, loss: 23744.9248427208, stepsize: 0.13736056394868904
it: 54, loss: 23653.736267741977, stepsize: 0.13608276348795434
it: 55, loss: 23563.55708918771, stepsize: 0.13483997249264842
it: 56, loss: 23474.480322429186, stepsize: 0.1336306209562122
it: 57, loss: 23386.357667796645, stepsize: 0.13245323570650439
it: 58, loss: 23299.282495228064, stepsize: 0.13130643285972254
it: 59, loss: 23213.09804851774, stepsize: 0.13018891098082389
it: 60, loss: 23127.88990532738, stepsize: 0.12909944487358055
it: 61, loss: 23043.526886206215, stepsize: 0.12803687993289598
it: 62, loss: 22960.0946739765, stepsize: 0.1270001270001905
it: 63, loss: 22877.465639003905, stepsize: 0.1259881576697424
it: 64, loss: 22795.684644163015, stepsize: 0.125
it: 65, loss: 22714.749405322305, stepsize: 0.12403473458920847
it: 66, loss: 22634.62345938834, stepsize: 0.12309149097933272
