2019-05-19 18:18:14
sign_sgd_majority_one-point_log-reg_var-step_20_0,1_1
it: 0, loss: 33714.65929296417, stepsize: 0.1
it: 1, loss: 33630.223715987195, stepsize: 0.1
it: 2, loss: 33570.60328489778, stepsize: 0.07071067811865475
it: 3, loss: 33521.97534215913, stepsize: 0.05773502691896258
it: 4, loss: 33479.90003347602, stepsize: 0.05
it: 5, loss: 33442.296399699, stepsize: 0.044721359549995794
it: 6, loss: 33407.9935938372, stepsize: 0.040824829046386304
it: 7, loss: 33376.25617754943, stepsize: 0.03779644730092272
it: 8, loss: 33346.58665549158, stepsize: 0.035355339059327376
it: 9, loss: 33318.62999651277, stepsize: 0.03333333333333333
it: 10, loss: 33292.122366244184, stepsize: 0.03162277660168379
it: 11, loss: 33266.86137620937, stepsize: 0.030151134457776365
it: 12, loss: 33242.68775098018, stepsize: 0.02886751345948129
it: 13, loss: 33219.473477107196, stepsize: 0.02773500981126146
it: 14, loss: 33197.11383632953, stepsize: 0.02672612419124244
it: 15, loss: 33175.52187241283, stepsize: 0.025819888974716113
it: 16, loss: 33154.6244406261, stepsize: 0.025
it: 17, loss: 33134.35931957186, stepsize: 0.024253562503633298
it: 18, loss: 33114.67305584785, stepsize: 0.023570226039551587
it: 19, loss: 33095.519326379144, stepsize: 0.022941573387056175
it: 20, loss: 33076.857674140665, stepsize: 0.022360679774997897
it: 21, loss: 33058.65251822652, stepsize: 0.021821789023599242
it: 22, loss: 33040.87236884462, stepsize: 0.021320071635561044
it: 23, loss: 33023.48919766436, stepsize: 0.02085144140570748
it: 24, loss: 33006.47792752132, stepsize: 0.020412414523193152
it: 25, loss: 32989.816014941345, stepsize: 0.02
it: 26, loss: 32973.48310564976, stepsize: 0.019611613513818404
it: 27, loss: 32957.46074805262, stepsize: 0.019245008972987525
it: 28, loss: 32941.732153195924, stepsize: 0.01889822365046136
it: 29, loss: 32926.28199230774, stepsize: 0.018569533817705187
it: 30, loss: 32911.09622497289, stepsize: 0.018257418583505537
it: 31, loss: 32896.161952459515, stepsize: 0.01796053020267749
it: 32, loss: 32881.46729183904, stepsize: 0.017677669529663688
it: 33, loss: 32867.001267406915, stepsize: 0.017407765595569787
