2019-05-19 18:18:22
sign_sgd_majority_one-point_log-reg_var-step_20_1,0_1
it: 0, loss: 33714.65929296417, stepsize: 1.0
it: 1, loss: 32876.606422526194, stepsize: 1.0
it: 2, loss: 32292.46680577977, stepsize: 0.7071067811865475
it: 3, loss: 31820.71165030953, stepsize: 0.5773502691896258
it: 4, loss: 31415.9314482637, stepsize: 0.5
it: 5, loss: 31056.673713790366, stepsize: 0.4472135954999579
it: 6, loss: 30730.95949625541, stepsize: 0.4082482904638631
it: 7, loss: 30431.487593048892, stepsize: 0.3779644730092272
it: 8, loss: 30152.788452192864, stepsize: 0.35355339059327373
it: 9, loss: 29891.6316169784, stepsize: 0.3333333333333333
it: 10, loss: 29645.219971546074, stepsize: 0.31622776601683794
it: 11, loss: 29411.47933540469, stepsize: 0.30151134457776363
it: 12, loss: 29188.882588123546, stepsize: 0.2886751345948129
it: 13, loss: 28975.883281794424, stepsize: 0.2773500981126146
it: 14, loss: 28771.65175625036, stepsize: 0.2672612419124244
it: 15, loss: 28575.231834615308, stepsize: 0.2581988897471611
it: 16, loss: 28385.871519774995, stepsize: 0.25
it: 17, loss: 28203.001767862726, stepsize: 0.24253562503633297
it: 18, loss: 28025.904440070815, stepsize: 0.23570226039551587
it: 19, loss: 27854.334273633085, stepsize: 0.22941573387056174
it: 20, loss: 27687.817726237732, stepsize: 0.22360679774997896
it: 21, loss: 27525.737829431084, stepsize: 0.2182178902359924
it: 22, loss: 27368.028839357365, stepsize: 0.21320071635561041
it: 23, loss: 27214.402611148427, stepsize: 0.20851441405707477
it: 24, loss: 27064.601302702817, stepsize: 0.20412414523193154
it: 25, loss: 26918.28402914426, stepsize: 0.2
it: 26, loss: 26775.38061729317, stepsize: 0.19611613513818404
it: 27, loss: 26635.568803717855, stepsize: 0.19245008972987526
it: 28, loss: 26498.810366848265, stepsize: 0.1889822365046136
it: 29, loss: 26364.818882083724, stepsize: 0.18569533817705186
it: 30, loss: 26233.580129585247, stepsize: 0.18257418583505536
it: 31, loss: 26104.836186829158, stepsize: 0.1796053020267749
it: 32, loss: 25978.59108506644, stepsize: 0.17677669529663687
it: 33, loss: 25854.610045981677, stepsize: 0.17407765595569785
it: 34, loss: 25732.880941637708, stepsize: 0.17149858514250882
it: 35, loss: 25613.278208435153, stepsize: 0.1690308509457033
it: 36, loss: 25495.740301962353, stepsize: 0.16666666666666666
it: 37, loss: 25380.099616584448, stepsize: 0.1643989873053573
it: 38, loss: 25266.361737580355, stepsize: 0.16222142113076254
it: 39, loss: 25154.453002036786, stepsize: 0.16012815380508713
it: 40, loss: 25044.304380707865, stepsize: 0.15811388300841897
it: 41, loss: 24935.728386702, stepsize: 0.15617376188860607
it: 42, loss: 24828.861195068737, stepsize: 0.1543033499620919
it: 43, loss: 24723.45250280482, stepsize: 0.15249857033260467
it: 44, loss: 24619.64036714631, stepsize: 0.15075567228888181
it: 45, loss: 24517.185391671435, stepsize: 0.14907119849998599
it: 46, loss: 24416.226813781075, stepsize: 0.14744195615489714
it: 47, loss: 24316.5349356748, stepsize: 0.14586499149789456
it: 48, loss: 24218.180404370793, stepsize: 0.14433756729740646
it: 49, loss: 24121.122054007825, stepsize: 0.14285714285714285
it: 50, loss: 24025.30708650647, stepsize: 0.1414213562373095
it: 51, loss: 23930.7120886648, stepsize: 0.14002800840280097
it: 52, loss: 23837.301693439404, stepsize: 0.1386750490563073
it: 53, loss: 23744.93995303187, stepsize: 0.13736056394868904
it: 54, loss: 23653.698025011832, stepsize: 0.13608276348795434
it: 55, loss: 23563.57163977807, stepsize: 0.13483997249264842
it: 56, loss: 23474.44250200701, stepsize: 0.1336306209562122
it: 57, loss: 23386.345464096707, stepsize: 0.13245323570650439
it: 58, loss: 23299.244865475306, stepsize: 0.13130643285972254
it: 59, loss: 23213.11108617114, stepsize: 0.13018891098082389
it: 60, loss: 23127.852681335313, stepsize: 0.12909944487358055
it: 61, loss: 23043.51418162582, stepsize: 0.12803687993289598
it: 62, loss: 22960.0576433615, stepsize: 0.1270001270001905
it: 63, loss: 22877.477373258906, stepsize: 0.1259881576697424
it: 64, loss: 22795.68879186744, stepsize: 0.125
it: 65, loss: 22714.736587682823, stepsize: 0.12403473458920847
it: 66, loss: 22634.593810593295, stepsize: 0.12309149097933272
