2019-05-19 18:18:19
sign_sgd_majority_one-point_log-reg_var-step_20_0,5_1
it: 0, loss: 33714.65929296417, stepsize: 0.5
it: 1, loss: 33293.882070240266, stepsize: 0.5
it: 2, loss: 32998.46103922976, stepsize: 0.35355339059327373
it: 3, loss: 32758.54909130622, stepsize: 0.2886751345948129
it: 4, loss: 32551.722303383747, stepsize: 0.25
it: 5, loss: 32367.472388635968, stepsize: 0.22360679774997896
it: 6, loss: 32199.887383122845, stepsize: 0.20412414523193154
it: 7, loss: 32045.25401673747, stepsize: 0.1889822365046136
it: 8, loss: 31901.06048705298, stepsize: 0.17677669529663687
it: 9, loss: 31765.51431866371, stepsize: 0.16666666666666666
it: 10, loss: 31637.283491476177, stepsize: 0.15811388300841897
it: 11, loss: 31515.36894185858, stepsize: 0.15075567228888181
it: 12, loss: 31398.8775753082, stepsize: 0.14433756729740646
it: 13, loss: 31287.23108240953, stepsize: 0.1386750490563073
it: 14, loss: 31179.885536504073, stepsize: 0.1336306209562122
it: 15, loss: 31076.41747626693, stepsize: 0.12909944487358055
it: 16, loss: 30976.405611060934, stepsize: 0.125
it: 17, loss: 30879.608865410784, stepsize: 0.12126781251816648
it: 18, loss: 30785.68869026408, stepsize: 0.11785113019775793
it: 19, loss: 30694.479940214944, stepsize: 0.11470786693528087
it: 20, loss: 30605.713144701578, stepsize: 0.11180339887498948
it: 21, loss: 30519.273729724424, stepsize: 0.1091089451179962
it: 22, loss: 30434.940537180923, stepsize: 0.10660035817780521
it: 23, loss: 30352.63396679166, stepsize: 0.10425720702853739
it: 24, loss: 30272.16793032882, stepsize: 0.10206207261596577
it: 25, loss: 30193.487756155006, stepsize: 0.1
it: 26, loss: 30116.433608685642, stepsize: 0.09805806756909202
it: 27, loss: 30040.96902942212, stepsize: 0.09622504486493763
it: 28, loss: 29966.954349762997, stepsize: 0.0944911182523068
it: 29, loss: 29894.366693226533, stepsize: 0.09284766908852593
it: 30, loss: 29823.08222860685, stepsize: 0.09128709291752768
it: 31, loss: 29753.070840673587, stepsize: 0.08980265101338746
it: 32, loss: 29684.272380179307, stepsize: 0.08838834764831843
it: 33, loss: 29616.617179939112, stepsize: 0.08703882797784893
it: 34, loss: 29550.068072287337, stepsize: 0.08574929257125441
it: 35, loss: 29484.577307323343, stepsize: 0.08451542547285165
it: 36, loss: 29420.07109936205, stepsize: 0.08333333333333333
it: 37, loss: 29356.553112372814, stepsize: 0.08219949365267865
it: 38, loss: 29293.94084374789, stepsize: 0.08111071056538127
it: 39, loss: 29232.241868600562, stepsize: 0.08006407690254357
it: 40, loss: 29171.37966134131, stepsize: 0.07905694150420949
it: 41, loss: 29111.364923000016, stepsize: 0.07808688094430304
it: 42, loss: 29052.12623935931, stepsize: 0.07715167498104596
it: 43, loss: 28993.676824257323, stepsize: 0.07624928516630233
it: 44, loss: 28935.949674479896, stepsize: 0.07537783614444091
it: 45, loss: 28878.945826079675, stepsize: 0.07453559924999299
it: 46, loss: 28822.64458210313, stepsize: 0.07372097807744857
it: 47, loss: 28767.020401992035, stepsize: 0.07293249574894728
it: 48, loss: 28712.027888239365, stepsize: 0.07216878364870323
it: 49, loss: 28657.684806959733, stepsize: 0.07142857142857142
