2019-05-19 18:19:07
sign_sgd_majority_two-point_log-reg_var-step_20_0,5_1
it: 0, loss: 33714.65929296417, stepsize: 0.5
it: 1, loss: 33293.882070240266, stepsize: 0.5
it: 2, loss: 32998.46103922976, stepsize: 0.35355339059327373
it: 3, loss: 32758.54909130622, stepsize: 0.2886751345948129
it: 4, loss: 32551.722303383747, stepsize: 0.25
it: 5, loss: 32367.472388635968, stepsize: 0.22360679774997896
it: 6, loss: 32199.887383122845, stepsize: 0.20412414523193154
it: 7, loss: 32045.25401673747, stepsize: 0.1889822365046136
it: 8, loss: 31901.06048705298, stepsize: 0.17677669529663687
it: 9, loss: 31765.51431866371, stepsize: 0.16666666666666666
it: 10, loss: 31637.283491476177, stepsize: 0.15811388300841897
it: 11, loss: 31515.36894185858, stepsize: 0.15075567228888181
it: 12, loss: 31398.8775753082, stepsize: 0.14433756729740646
it: 13, loss: 31287.253932822663, stepsize: 0.1386750490563073
it: 14, loss: 31179.88636997444, stepsize: 0.1336306209562122
it: 15, loss: 31076.419616844396, stepsize: 0.12909944487358055
it: 16, loss: 30976.406489182864, stepsize: 0.125
it: 17, loss: 30879.610970414247, stepsize: 0.12126781251816648
it: 18, loss: 30785.68960467078, stepsize: 0.11785113019775793
it: 19, loss: 30694.482014392896, stepsize: 0.11470786693528087
it: 20, loss: 30605.71408902723, stepsize: 0.11180339887498948
it: 21, loss: 30519.275776625043, stepsize: 0.1091089451179962
it: 22, loss: 30434.94150647429, stepsize: 0.10660035817780521
it: 23, loss: 30352.63598917458, stepsize: 0.10425720702853739
it: 24, loss: 30272.16892069834, stepsize: 0.10206207261596577
it: 25, loss: 30193.489756267572, stepsize: 0.1
it: 26, loss: 30116.43461705982, stepsize: 0.09805806756909202
it: 27, loss: 30040.97100917011, stepsize: 0.09622504486493763
it: 28, loss: 29966.955373695982, stepsize: 0.0944911182523068
it: 29, loss: 29894.368654257094, stepsize: 0.09284766908852593
it: 30, loss: 29823.08326610679, stepsize: 0.09128709291752768
it: 31, loss: 29753.090325903053, stepsize: 0.08980265101338746
it: 32, loss: 29684.275049093663, stepsize: 0.08838834764831843
it: 33, loss: 29616.636361751218, stepsize: 0.08703882797784893
it: 34, loss: 29550.069909834332, stepsize: 0.08574929257125441
it: 35, loss: 29484.58068270834, stepsize: 0.08451542547285165
it: 36, loss: 29420.07295339873, stepsize: 0.08333333333333333
it: 37, loss: 29356.556461989323, stepsize: 0.08219949365267865
it: 38, loss: 29293.94271224676, stepsize: 0.08111071056538127
it: 39, loss: 29232.24519376017, stepsize: 0.08006407690254357
it: 40, loss: 29171.381542579133, stepsize: 0.07905694150420949
it: 41, loss: 29111.350679116473, stepsize: 0.07808688094430304
it: 42, loss: 29052.12792209005, stepsize: 0.07715167498104596
it: 43, loss: 28993.679751704844, stepsize: 0.07624928516630233
it: 44, loss: 28935.95136641902, stepsize: 0.07537783614444091
it: 45, loss: 28878.962943084687, stepsize: 0.07453559924999299
it: 46, loss: 28822.646437629457, stepsize: 0.07372097807744857
it: 47, loss: 28767.02356729291, stepsize: 0.07293249574894728
it: 48, loss: 28712.029752716895, stepsize: 0.07216878364870323
it: 49, loss: 28657.687954517038, stepsize: 0.07142857142857142
